data_file,model_file,local_index,global_index,family
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,2,1002,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,3,1003,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,8,1008,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,10,1010,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,12,1012,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,13,1013,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,16,1016,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,22,1022,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,24,1024,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,25,1025,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,26,1026,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,29,1029,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,32,1032,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,33,1033,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,34,1034,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,38,1038,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,40,1040,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,41,1041,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,42,1042,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,43,1043,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,45,1045,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,48,1048,FlatVel_A
