candidate,mode,alpha,illumination_threshold,selected,accepted,score,active_fraction,mean_alpha,mae_improvement_pct,rmse_improvement_pct,edge_mae_improvement_pct,mae_ms,rmse_ms,edge_mae
initial,none,0.0,0.0,False,,,0.0,0.0,0.0,0.0,0.0,131.69210815429688,285.2394714355469,37.27558898925781
global_alpha0.05_thr0,global,0.05,0.0,False,True,0.12588172963254535,1.0,0.05000000000000002,0.06808440024871762,0.011338912068551093,0.023229208657638317,131.60244637228513,285.207128382696,37.266930164913134
global_alpha0.1_thr0,global,0.1,0.0,False,False,0.1519865855518987,1.0,0.10000000000000003,0.13044692549777692,0.021539660054121782,-0.01345567279500848,131.5203198480864,285.1780318230595,37.28060467054462
global_alpha0.15_thr0,global,0.15,0.0,False,False,0.20855552711239456,1.0,0.14999999999999994,0.1779553547343225,0.030600172378072065,-0.08856276551044837,131.4577549960738,285.1521876655973,37.30860128172701
global_alpha0.2_thr0,global,0.2,0.0,False,False,0.25105544565331567,1.0,0.20000000000000007,0.21253530666594037,0.038520138987375316,-0.18163741292398988,131.4122159283763,285.12959679470305,37.34329540475008
global_alpha0.25_thr0,global,0.25,0.0,False,False,0.28115485729367806,1.0,0.25,0.23585556852695877,0.04529928876671932,-0.28521974379924914,131.38150498390442,285.1102599837046,37.381906328672635
global_alpha0.3_thr0,global,0.3,0.0,False,False,0.30311336555832785,1.0,0.2999999999999999,0.252175975973548,0.050937389584779856,-0.4160332869614144,131.36001229527864,285.0941778947322,37.43066784736405
global_alpha0.4_thr0,global,0.4,0.0,False,False,0.3259703801361608,1.0,0.40000000000000013,0.2671806691722626,0.05878971096389825,-0.7911569756564558,131.34025229848316,285.07177997473497,37.570497411763355
global_alpha0.5_thr0,global,0.5,0.0,False,False,0.3335756727011351,1.0,0.5,0.2714996456031139,0.06207602709802121,-1.2125494118285014,131.3345645473707,285.0624061039643,37.72757392430267
global_alpha0.75_thr0,global,0.75,0.0,False,False,0.288679346376408,1.0,0.75,0.23836521757926213,0.05031412879714589,-2.360182051980536,131.37819997416017,285.0959556805085,38.15536075035231
global_alpha1_thr0,global,1.0,0.0,False,False,0.12192398915034704,1.0,1.0,0.11190032422108455,0.010023664929262486,-3.6249770690033714,131.54474425829864,285.2108799866842,38.626820542454354
hard_alpha0.05_thr0,hard,0.05,0.0,False,True,0.12588172963254535,1.0,0.05000000000000002,0.06808440024871762,0.011338912068551093,0.023229208657638317,131.60244637228513,285.207128382696,37.266930164913134
hard_alpha0.05_thr0.001,hard,0.05,0.001,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.005,hard,0.05,0.005,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.01,hard,0.05,0.01,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.02,hard,0.05,0.02,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.05,hard,0.05,0.05,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.1,hard,0.05,0.1,False,True,0.13386679900129855,0.9826086956521739,0.049130434782608715,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.2,hard,0.05,0.2,False,True,0.13386679900129855,0.8636094674556213,0.04318047337278107,0.058865289516199376,0.011298778974383047,0.03185136525535806,131.61458721356186,285.2072428581217,37.26371620525776
hard_alpha0.05_thr0.3,hard,0.05,0.3,False,True,0.1343117652978167,0.49108567018266014,0.024554283509133013,0.058111267517769766,0.011295078376202845,0.032452709701922045,131.61558020102754,285.20725341368836,37.26349205057345
hard_alpha0.05_thr0.4,hard,0.05,0.4,False,True,0.13931483214706603,0.35495883714947263,0.017747941857473633,0.0574966630906541,0.01116151933335043,0.035328324861530744,131.61638958655442,285.20763437679625,37.26242014808564
hard_alpha0.05_thr0.5,hard,0.05,0.5,False,True,0.15459412344697887,0.25322227939284797,0.0126611139696424,0.05498788338474239,0.009893654762061964,0.044856292650087254,131.61969345143808,285.2112508269979,37.25886854197375
hard_alpha0.05_thr0.6,hard,0.05,0.6,False,True,0.10500334720034671,0.14967198353485978,0.0074835991767429905,0.03733142535128627,0.006351739759354912,0.030660091044852764,131.64294561324772,285.22135376663033,37.2641602597362
hard_alpha0.05_thr0.7,hard,0.05,0.7,False,True,0.02740449202965063,0.05537046565474659,0.0027685232827373294,0.011678481878265475,0.0014873201598059596,0.007119344995789598,131.67672851531097,285.2352290113845,37.272935211478455
hard_alpha0.05_thr0.8,hard,0.05,0.8,False,False,0.0011489605268397945,0.000996912786210445,4.984563931052225e-05,0.0011394399238647324,9.520602975061988e-06,-0.00030532170075080943,131.69060760184,285.23944427902927,37.27570279972008
hard_alpha0.1_thr0,hard,0.1,0.0,False,False,0.1519865855518987,1.0,0.10000000000000003,0.13044692549777692,0.021539660054121782,-0.01345567279500848,131.5203198480864,285.1780318230595,37.28060467054462
hard_alpha0.1_thr0.001,hard,0.1,0.001,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.005,hard,0.1,0.005,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.01,hard,0.1,0.01,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.02,hard,0.1,0.02,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.05,hard,0.1,0.05,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.1,hard,0.1,0.1,False,True,0.16441857326520676,0.9826086956521739,0.09826086956521743,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.2,hard,0.1,0.2,False,True,0.16441857326520676,0.8636094674556213,0.08636094674556213,0.11533656640785094,0.021512617333278916,0.013784694762038452,131.5402189985216,285.1781089595735,37.27045066309489
hard_alpha0.1_thr0.3,hard,0.1,0.3,False,True,0.16827459604373274,0.49108567018266014,0.049108567018266026,0.11403100119214181,0.0215155810139166,0.016364006918837153,131.5419383248775,285.1781005059865,37.26948920929657
hard_alpha0.1_thr0.4,hard,0.1,0.4,False,True,0.18907489175179829,0.35495883714947263,0.03549588371494727,0.1129068854811491,0.021303257169365517,0.02743237455064183,131.5434186965554,285.1787061373984,37.26536341007032
hard_alpha0.1_thr0.5,hard,0.1,0.5,False,True,0.25908032449803475,0.25322227939284797,0.0253222279392848,0.10819497341269728,0.019091115946455395,0.06589711756944105,131.5496239128927,285.18501603733006,37.25102545055686
hard_alpha0.1_thr0.6,hard,0.1,0.6,False,True,0.18725456042584637,0.14967198353485978,0.014967198353485981,0.07424675355880184,0.012278955688665593,0.050364425589189465,131.59433103929916,285.2044470072427,37.256815352978386
hard_alpha0.1_thr0.7,hard,0.1,0.7,False,True,0.045292159769222365,0.05537046565474659,0.005537046565474659,0.023345480776640146,0.0028549504807186916,0.009545864255931765,131.66136399850336,285.2313279898859,37.2720307121323
hard_alpha0.1_thr0.8,hard,0.1,0.8,False,False,0.002292161081013916,0.000996912786210445,9.96912786210445e-05,0.00227498621073758,1.717487027633628e-05,-0.0021138657686448925,131.68911217699574,285.2394224460377,37.27637694517352
hard_alpha0.15_thr0,hard,0.15,0.0,False,False,0.20855552711239456,1.0,0.14999999999999994,0.1779553547343225,0.030600172378072065,-0.08856276551044837,131.4577549960738,285.1521876655973,37.30860128172701
hard_alpha0.15_thr0.001,hard,0.15,0.001,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.005,hard,0.15,0.005,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.01,hard,0.15,0.01,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.02,hard,0.15,0.02,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.05,hard,0.15,0.05,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.1,hard,0.15,0.1,False,False,0.19989430773143643,0.9826086956521739,0.147391304347826,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.2,hard,0.15,0.2,False,False,0.19989430773143643,0.8636094674556213,0.12954142011834316,0.16925484836778013,0.03063945936365631,-0.045819841894360176,131.469212876328,285.1520756036073,37.29266860519788
hard_alpha0.15_thr0.3,hard,0.15,0.3,False,False,0.1984489014751262,0.49108567018266014,0.07366285052739899,0.1677894463134694,0.030659455161656794,-0.041084557495173424,131.47114269518624,285.15201856769875,37.29090350004777
hard_alpha0.15_thr0.4,hard,0.15,0.4,False,False,0.19670140407068407,0.35495883714947263,0.05324382557242088,0.16627822409296505,0.030423179977719008,-0.020256834500465636,131.47313285558732,285.15269251778454,37.28313984362844
